lat,lon,datetime
58.3958019,15.5773132,2019-08-28 12:02:59
58.3958019,15.5773132,2019-08-28 12:07:59
58.3958019,15.5773132,2019-08-28 12:13:00
58.3958019,15.5773132,2019-08-28 12:18:00
58.3958019,15.5773132,2019-08-28 12:23:00
58.3958088,15.5773165,2019-08-28 12:23:20
58.395805,15.5773148,2019-08-28 12:26:38
58.3957976,15.5773145,2019-08-28 12:27:03
58.3958019,15.5773132,2019-08-28 12:29:00
58.3956266,15.5775372,2019-08-28 12:29:40
58.3958019,15.5773132,2019-08-28 12:30:41
58.3959471,15.5770097,2019-08-28 12:31:55
58.3959554,15.5770411,2019-08-28 12:32:44
58.3959559,15.5770368,2019-08-28 12:33:57
58.3959602,15.5769924,2019-08-28 12:36:01
58.3959554,15.5770411,2019-08-28 12:37:49
58.3959542,15.5770346,2019-08-28 12:38:10
58.3959578,15.5770096,2019-08-28 12:40:25
58.3959574,15.5770109,2019-08-28 12:42:31
58.3959554,15.5770411,2019-08-28 12:42:54
58.3959583,15.5770132,2019-08-28 12:44:36
58.3959472,15.5770398,2019-08-28 12:46:37
58.3952691,15.5780043,2019-08-28 12:48:22
58.3928761,15.5820359,2019-08-28 12:50:27
58.3919444,15.5809347,2019-08-28 12:50:41
58.3915444,15.5939205,2019-08-28 12:52:30
58.395248,15.5818024,2019-08-28 12:52:40
58.3922536,15.6204381,2019-08-28 12:54:32
58.3924853,15.621578,2019-08-28 12:54:39
58.3924853,15.621578,2019-08-28 12:55:19
58.3933085,15.6413503,2019-08-28 12:56:41
58.392969,15.6430283,2019-08-28 12:56:41
58.3953803,15.6486245,2019-08-28 12:57:54
58.3968947,15.6517361,2019-08-28 12:58:26
58.397668,15.6517722,2019-08-28 12:58:40
58.4059909,15.6511152,2019-08-28 13:00:25
58.4075476,15.6532971,2019-08-28 13:00:46
58.4063901,15.6537748,2019-08-28 13:01:45
58.4133052,15.6599252,2019-08-28 13:02:09
58.4073744,15.6576199,2019-08-28 13:04:14
58.4073152,15.6576366,2019-08-28 13:04:56
58.407318,15.6576263,2019-08-28 13:05:15
58.4073078,15.6576606,2019-08-28 13:05:31
58.4073353,15.6576594,2019-08-28 13:05:46
58.4074716,15.6573869,2019-08-28 13:06:09
58.407437,15.6574235,2019-08-28 13:06:19
58.4059909,15.6511152,2019-08-28 13:06:26
58.4075016,15.6576081,2019-08-28 13:08:16
58.4075029,15.6575566,2019-08-28 13:08:24
58.4075501,15.6575115,2019-08-28 13:10:25
58.4075753,15.65772,2019-08-28 13:12:26
58.4075762,15.6575556,2019-08-28 13:13:29
58.4075757,15.6576324,2019-08-28 13:13:58
58.4075804,15.657591,2019-08-28 13:14:21
58.4075667,15.6575295,2019-08-28 13:14:41
58.4075769,15.657545,2019-08-28 13:15:15
58.4075767,15.6575475,2019-08-28 13:15:52
58.4075764,15.6575532,2019-08-28 13:16:29
58.4075708,15.6575672,2019-08-28 13:16:47
58.4075759,15.6575813,2019-08-28 13:17:17
58.407577,15.6575838,2019-08-28 13:17:48
58.4075758,15.6575835,2019-08-28 13:18:18
58.4075768,15.6575832,2019-08-28 13:18:34
58.4075789,15.6576214,2019-08-28 13:18:38
58.4075695,15.6575637,2019-08-28 13:19:19
58.4075771,15.6575436,2019-08-28 13:19:50
58.4075757,15.6575563,2019-08-28 13:20:20
58.4075758,15.6576291,2019-08-28 13:20:47
58.4075772,15.6575428,2019-08-28 13:20:52
58.4075772,15.6575433,2019-08-28 13:21:22
58.4075774,15.6575421,2019-08-28 13:22:03
58.4075758,15.6575554,2019-08-28 13:22:33
58.407573,15.6575805,2019-08-28 13:22:48
58.4075758,15.6575554,2019-08-28 13:23:02
58.4075706,15.6575674,2019-08-28 13:24:51
58.4059909,15.6511152,2019-08-28 13:25:43
58.4059909,15.6511152,2019-08-28 13:26:14
58.4075706,15.6575647,2019-08-28 13:26:38
58.4059909,15.6511152,2019-08-28 13:26:44
58.4059909,15.6511152,2019-08-28 13:27:15
58.4059909,15.6511152,2019-08-28 13:27:45
58.4059909,15.6511152,2019-08-28 13:28:16
58.4075706,15.6575647,2019-08-28 13:29:01
58.4059909,15.6511152,2019-08-28 13:29:14
58.4075756,15.6575585,2019-08-28 13:29:52
58.4075706,15.6575647,2019-08-28 13:31:10
58.4075756,15.6575585,2019-08-28 13:31:52
58.4074806,15.657365,2019-08-28 13:33:25
58.4074806,15.657365,2019-08-28 13:34:01
58.4074806,15.657365,2019-08-28 13:35:34
58.4075622,15.6575691,2019-08-28 13:37:00
58.4075763,15.6575418,2019-08-28 13:37:25
58.4075763,15.6575418,2019-08-28 13:38:11
58.4075772,15.6575447,2019-08-28 13:38:40
58.4075772,15.6575447,2019-08-28 13:38:55
58.4075832,15.6575692,2019-08-28 13:39:12
58.4075772,15.6575424,2019-08-28 13:40:05
58.4075773,15.6575734,2019-08-28 13:41:20
58.4075772,15.6575424,2019-08-28 13:42:06
58.4075754,15.6575596,2019-08-28 13:42:53
58.4075759,15.657557,2019-08-28 13:43:16
58.4075826,15.6576691,2019-08-28 13:43:29
58.4075707,15.6575662,2019-08-28 13:43:33
58.4075772,15.6575455,2019-08-28 13:43:51
58.4075776,15.6575352,2019-08-28 13:44:13
58.4075761,15.6575473,2019-08-28 13:44:32
58.4075711,15.6575581,2019-08-28 13:44:52
58.4075776,15.6575357,2019-08-28 13:45:27
58.4075786,15.6575328,2019-08-28 13:45:38
58.407576,15.6575529,2019-08-28 13:45:58
58.4075759,15.6575543,2019-08-28 13:46:24
58.4075758,15.6576314,2019-08-28 13:47:52
58.4075737,15.6575805,2019-08-28 13:47:54
58.4075733,15.6576587,2019-08-28 13:50:01
58.4075498,15.6574909,2019-08-28 13:51:49
58.4075771,15.6576108,2019-08-28 13:52:08
58.4075704,15.6575586,2019-08-28 13:53:50
58.4075826,15.6576691,2019-08-28 13:54:17
58.4075701,15.6575589,2019-08-28 13:54:52
58.4075701,15.6575589,2019-08-28 13:55:52
58.4075761,15.6576339,2019-08-28 13:56:32
58.4075701,15.6575589,2019-08-28 13:57:52
58.4075701,15.6575589,2019-08-28 13:59:52
58.4075774,15.6575784,2019-08-28 14:01:01
58.4075602,15.6575241,2019-08-28 14:02:51
58.4075774,15.6575784,2019-08-28 14:03:16
58.4075774,15.6575784,2019-08-28 14:05:16
58.4075826,15.6576691,2019-08-28 14:06:47
58.4075593,15.6575235,2019-08-28 14:07:52
58.4075593,15.6575235,2019-08-28 14:08:52
58.4075826,15.6576691,2019-08-28 14:09:02
58.4075593,15.6575235,2019-08-28 14:09:51
58.4075593,15.6575235,2019-08-28 14:10:51
58.4075663,15.6575272,2019-08-28 14:11:06
58.4075726,15.6574746,2019-08-28 14:11:17
58.4075663,15.6575272,2019-08-28 14:13:11
58.4075726,15.6574746,2019-08-28 14:13:32
58.4075663,15.6575272,2019-08-28 14:15:11
58.4075646,15.6578131,2019-08-28 14:15:36
58.4075438,15.6578699,2019-08-28 14:17:38
58.200417,15.9793474,2019-08-28 14:19:54
58.4093235,15.6507987,2019-08-28 14:21:58
58.200417,15.9793474,2019-08-28 14:24:01
58.4075463,15.657891,2019-08-28 14:26:04
52.304366,4.7600313,2019-08-28 15:58:24
52.3060037,4.7607264,2019-08-28 15:59:08
52.3034451,4.7620184,2019-08-28 15:59:57
52.3031358,4.7618963,2019-08-28 16:00:49
52.3030899,4.7619019,2019-08-28 16:01:11
52.3033341,4.7619389,2019-08-28 16:01:45
52.3033726,4.7616392,2019-08-28 16:02:47
52.3032767,4.7616117,2019-08-28 16:03:25
52.3032932,4.7619283,2019-08-28 16:03:41
52.303298,4.7616892,2019-08-28 16:04:55
52.3058216,4.756976,2019-08-28 16:05:28
52.3058216,4.756976,2019-08-28 16:05:59
52.3058216,4.756976,2019-08-28 16:08:00
52.3033423,4.7621827,2019-08-28 16:09:11
52.3058216,4.756976,2019-08-28 16:10:05
52.3084339,4.7652233,2019-08-28 16:11:28
52.3064171,4.7669967,2019-08-28 16:12:55
52.3084403,4.7651283,2019-08-28 16:13:30
52.3074758,4.765526,2019-08-28 16:15:09
52.3084403,4.7638801,2019-08-28 16:15:38
52.3090735,4.7632183,2019-08-28 16:17:23
52.3087,4.7599507,2019-08-28 16:18:10
52.3087997,4.7627373,2019-08-28 16:19:46
52.3133815,4.7677839,2019-08-28 16:20:54
52.3095467,4.7628187,2019-08-28 16:22:01
52.3095534,4.7616301,2019-08-28 16:23:52
52.3133815,4.7677839,2019-08-28 16:25:46
52.3101301,4.7618092,2019-08-28 16:26:24
52.3133815,4.7677839,2019-08-28 16:28:00
52.3041997,4.7476076,2019-08-28 16:28:32
52.3041997,4.7476076,2019-08-28 16:30:40
52.3105031,4.7648076,2019-08-28 16:31:52
52.3041997,4.7476076,2019-08-28 16:32:50
